C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Spheroid diameter [μm],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,585.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,701.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1062.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1105.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1185.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1277.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1326.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1470.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1522.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.022170000000000002,0.009200000000000007,0.002053000000000001,0.0,0.0011800000000000007,202.88394772517648,10.250799999999995,22.821000000000005,83.883,80.0,15.770999999999999,524.2780999999997,18.551,25.4,0.029717894736842103,0.0,0.0015185365853658537,0.0,1528.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.007340000000000002,0.0,0.0,0.0,0.0,115.00598349436393,9.771,28.848999999999997,97.87299999999999,100.0,19.134999999999994,649.0,4.0,25.0,0.029717894736842103,0.0,0.0015185365853658537,0.0,1039.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.007820000000000004,0.003340000000000002,0.005052000000000006,0.0,0.0009700000000000007,150.65825264550264,9.780900000000008,26.486,98.46199999999999,100.0,16.912,665.0520999999999,4.2136000000000005,25.0,0.029717894736842103,0.0,0.0015185365853658537,0.0,874.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.007340000000000002,0.0,0.0,0.0,0.0,115.00598349436393,9.771,28.848999999999997,97.87299999999999,100.0,19.134999999999994,649.0,4.0,25.0,0.029717894736842103,0.0,0.0015185365853658537,0.0,1117.0
