C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Spheroid diameter [μm],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_MV
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,35.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,20.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,7.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,1.5
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,1.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,0.7
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,45.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,40.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,10.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,1.5
