C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00046,0.016,0.0,0.0,81.86799645207734,10.4832,90.325,80.51699999999997,18.113999999999997,777.5,2.9932999999999987,22.558000000000014,925.0,60.0,350.0,60.0,921.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00046,0.016,0.0,0.0,81.86799645207734,10.4832,90.325,80.51699999999997,18.113999999999997,777.5,2.9932999999999987,22.558000000000014,925.0,60.0,375.0,60.0,847.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00046,0.016,0.0,0.0,81.86799645207734,10.4832,90.325,80.51699999999997,18.113999999999997,777.5,2.9932999999999987,22.558000000000014,925.0,60.0,400.0,60.0,812.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00046,0.016,0.0,0.0,81.86799645207734,10.4832,90.325,80.51699999999997,18.113999999999997,777.5,2.9932999999999987,22.558000000000014,925.0,60.0,425.0,60.0,772.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00017999999999999998,0.027,0.0,0.0,67.77,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.11,4.150400000000001,56.4,925.0,60.0,350.0,60.0,952.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00017999999999999998,0.027,0.0,0.0,67.77,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.11,4.150400000000001,56.4,925.0,60.0,375.0,60.0,882.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00017999999999999998,0.027,0.0,0.0,67.77,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.11,4.150400000000001,56.4,925.0,60.0,400.0,60.0,872.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00017999999999999998,0.027,0.0,0.0,67.77,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.11,4.150400000000001,56.4,925.0,60.0,425.0,60.0,797.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.041,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.05,3.9463,58.8,925.0,60.0,350.0,60.0,748.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.041,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.05,3.9463,58.8,925.0,60.0,375.0,60.0,924.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.041,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.05,3.9463,58.8,925.0,60.0,400.0,60.0,901.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.041,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,787.05,3.9463,58.8,925.0,60.0,425.0,60.0,823.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.055,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,793.86,3.9444,58.8,925.0,60.0,350.0,60.0,981.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.055,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,793.86,3.9444,58.8,925.0,60.0,375.0,60.0,943.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.055,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,793.86,3.9444,58.8,925.0,60.0,400.0,60.0,911.0
3.63,2.52,0.013,0.028,0.0043,0.162,0.024,0.215,0.002,0.011,0.00015,0.055,0.0,0.0,63.98,8.940199999999987,92.5,79.11999999999992,19.704000000000004,793.86,3.9444,58.8,925.0,60.0,425.0,60.0,856.0
