C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.11,2.61,0.03,0.05,0.042,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,22.0,89.0,19.2,80.8,413.64,23.103,19.865817977071266,910.0,90.0,300.0,180.0,63.0
3.11,2.61,0.03,0.05,0.042,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,22.0,89.0,19.2,80.8,413.64,23.103,19.865817977071266,910.0,90.0,360.0,120.0,91.0
3.09,2.51,0.03,0.07,0.042,0.24,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,92.0,85.0,15.0,590.9396238095236,8.348700000000001,26.94,910.0,90.0,300.0,180.0,88.0
3.09,2.51,0.03,0.07,0.042,0.24,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,92.0,85.0,15.0,590.9396238095236,8.348700000000001,26.94,910.0,90.0,360.0,120.0,109.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,60.0,32.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,60.0,72.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,60.0,74.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,120.0,62.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,120.0,106.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,120.0,89.0
