C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,400.0,120.0,585.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,385.0,120.0,701.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,371.0,120.0,1062.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,357.0,120.0,1105.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,343.0,120.0,1185.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,330.0,120.0,1277.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,316.0,120.0,1326.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,288.0,120.0,1470.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,273.0,120.0,1522.0
3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.040089999999999966,0.25907,0.01892599999999999,0.0,0.003230000000000002,193.63738095238097,10.5,91.79,80.0,18.893000000000008,784.85,2.9075,25.4,927.0,120.0,260.0,120.0,1528.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,240.0,1039.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,240.0,874.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,180.0,1117.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,120.0,1078.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,120.0,862.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,90.0,1000.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,90.0,905.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,75.0,1032.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,60.0,996.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,60.0,916.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,45.0,1099.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,45.0,852.0
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,30.0,1063.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,30.0,878.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,15.0,905.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1208.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1299.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1078.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1429.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1532.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1455.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,60.0,922.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,60.0,1013.0
