C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.58,1.95,0.01,0.02,0.046,0.18,0.38,1.08,0.18,0.11999999999999993,0.3174600000000003,0.005459000000000009,0.047400000000000005,0.0031500000000000018,250.0,11.839299999999998,100.0,83.19800000000004,17.036999999999992,583.4690999999997,7.1183000000000085,10.0,920.0,60.0,280.0,120.0,6.0
3.58,1.95,0.01,0.02,0.046,0.18,0.38,1.08,0.18,0.11999999999999993,0.3174600000000003,0.005459000000000009,0.047400000000000005,0.0031500000000000018,250.0,11.839299999999998,100.0,83.19800000000004,17.036999999999992,583.4690999999997,7.1183000000000085,10.0,900.0,60.0,360.0,90.0,9.0
3.4,2.77,0.01,0.01,0.04,0.45,1.43,1.17,0.18,0.12224999999999994,0.31867,0.007360000000000011,0.034800000000000025,0.010250000000000007,137.0,10.695,80.0,94.376,10.66,729.99,4.391799999999998,10.0,920.0,60.0,280.0,120.0,6.0
3.4,2.77,0.01,0.01,0.04,0.45,1.43,1.17,0.18,0.12224999999999994,0.31867,0.007360000000000011,0.034800000000000025,0.010250000000000007,137.0,10.695,80.0,94.376,10.66,729.99,4.391799999999998,10.0,900.0,60.0,360.0,90.0,8.0
3.68,2.52,0.01,0.03,0.02,0.29,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,60.0,400.0,50.0,14.4
3.56,2.46,0.01,0.03,0.03,0.24,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,60.0,400.0,50.0,15.5
3.73,2.46,0.01,0.03,0.04,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,60.0,400.0,50.0,15.7
3.53,2.53,0.02,0.04,0.03,0.25,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,60.0,400.0,50.0,12.0
3.39,2.56,0.012,0.015,0.04,0.37,0.0,0.29,0.25,0.29820000000000046,3.5221899999999984,0.003995000000000003,0.034800000000000025,0.13910000000000006,104.0,12.0,70.3,40.9,59.1,413.39700000000005,26.150999999999986,10.0,870.0,120.0,375.0,120.0,140.0
3.52,2.64,0.013,0.007,0.04,0.67,0.0,0.25,0.25,0.29820000000000046,3.5221899999999984,0.003995000000000003,0.034800000000000025,0.13910000000000006,102.0,12.0,67.2,54.5,45.5,412.417,26.150999999999986,10.0,870.0,120.0,375.0,120.0,76.0
